I_1,B_1,I_2,B_2,I_3,B_3
0,10,0,30,0,30
0.2,490,0.2,510,0.2,520
0.4,1010,0.4,1040,0.4,1040
0.6,1550,0.6,1620,0.6,1610
0.8,2120,0.8,2170,0.8,2180
1,2690,1,2750,1,2760
1.2,3260,1.2,3330,1.2,3340
1.4,3820,1.4,3910,1.4,3910
1.6,4390,1.6,4480,1.6,4480
1.8,4970,1.8,5040,1.8,5050
2,5550,2,5590,2,5600
2.2,6100,2.2,6140,2.2,6140
2.4,6640,2.4,6660,2.4,6680
2.6,7180,2.6,7190,2.6,7200
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,, ,,
